"search_keyword_en","search_keyword_tc","image_url","author_en","author_tc","author_sc","author_url"
"Natural Amber","天然琥珀","","","","",""
"Nature Rough Yellow Agate","天然黃瑪瑙原石"
"HP CB383A","空碳粉匣"
"HP CB384A Imaging Drum","已用感光鼓"
"HP CB385A Imaging Drum","已用感光鼓"
"HP CB386A Imaging Drum","已用感光鼓"
"HP CB387A Imaging Drum","已用感光鼓"
"HP Q7553AC","空碳粉匣"
"HP Q7516AC","空碳粉匣"
"Panasonic UG-5575","空碳粉匣"
"Panasonic UG-3313","空碳粉匣"
"Sharp MX-23AT-YA","空碳粉匣"
"HP CE505XD","空碳粉匣"
"HP CF280XC","空碳粉匣"
"Kyocera TK-8509Y","空碳粉匣"
"Kyocera TK-8509M","空碳粉匣"
"Kyocera TK-8509C","空碳粉匣"
"Kyocera TK-8509K","空碳粉匣"
"Kyocera TK-8604Y","空碳粉匣"
"Kyocera TK-8604M","空碳粉匣"
"Kyocera TK-8604C","空碳粉匣"
"Kyocera TK-8604K","空碳粉匣"
"Air Compressor","空氣壓縮機"
"Aluminum Rollers for Transportation","鋁質輸送滾輪"
"High Pressure Cold water Cleaning Machine","高壓冷水清洗機"
"Electronic Scale","電子秤"
"Electric Saw","電鋸"
"Scrubber Drier","洗地吸乾機"
"Hand Trolly Shredder for Wood","手推碎木機"
"Diesel Water Pump with Electric Start","柴油水泵電機"
"Water Pump","抽水機"
"Personal Navigator Antenna","個人導航器天線"
"Hydrophone Sensor","水聽傳感器"
"Centrifuge","離心機"
"Temperature and Humidity Chart Recorder","溫度濕度記錄儀"
"Electronic Heavy Duty Stapler","電訂書機"
"Temperature and Humidity Chart Recorder","手提溫度濕度記錄儀"
"Dry Cabinet","乾燥櫃"
"Electronic Tape Dispenser","電膠紙機"
"8 Channel Electronic Pipette","電移液器"
"Eppendof Biophotometer","生物光譜儀"
"Precision Pulsed Microwave Oven","科學微波爐"
"Mini-shaker","小型振動器"
"UltraSonic Scaling Unit","超聲波洗牙機"
"Replenisher Unit","抽藥水機"
"Automatic X-ray Processing Machine","電動X光片沖片機"
"Autoclave","消毒爐"
"High Voltage Probe","高壓探頭"
"Keyboard for Radio Walkie Talkie","無線電對講機鍵盤"
"Dynamic Pressure Microphone","動圈麥克風"
"20 Core Cable","20芯電纜"
"Controller","控制板"
"Back Cover Kit","後蓋套件"
"Weather Proof Stream Line","全天候雲台"
"Mobile Duplexer","移動雙工器"
"Headset for Radio Walkie Talkie","無線電對講機耳機"
"Control Head","控制頭"
"Channel Modem","通道調製解調器"
"Triggered Spark Gap Surge Reduction","浪湧抑制濾波器"
"Directional Frequency Range Antenna","天線"
"Marine Rader Display","船用雷達顯示器"
"800 Mega Hertz Base Station/Repeater","800兆赫茲基站/中繼無線電機"
"Modem","數據機"
"Memory","記憶體"
"PDA Phone","智慧型手提電話"
"Tape Drive","磁帶機"
"Ladder First Floor","5米鋁合金二樓梯"
"Ladder First Floor","6.5米鋁合金二樓梯"
"Ladder Double Extension","5米鋁合金雙扯梯"
"Piano","鋼琴"
"Electronic Keyboard","電子琴"
"Bass Recorder","牧童笛"
"Vacuum Cleaner","吸塵機"
"Lunch Box Steam Warmer","飯盒保溫機"
"Scale","寄信磅"
"Mosquito Exterminator","滅蚊機"
"Electronic Dictionary","電子辭典"
"Microwave","微波爐"
"10' x 10' Electric Screen","電動屏幕"
"6' x 6' Electric Screen","電動屏幕"
"8' x 10' Electric Screen","電動屏幕"
"Manual Screen","手動屏幕"
"Video Distribution System","視頻分配系統"
"Microphone for PA System","麥克風"
"27"" Precision Cutter","切割機"
"Portable Projector","便擕式投影機"
"8-way Splitter with Earphone","8路分訊器連耳機"
"Handheld Wireless Microphone","手提無線麥克風"
"Wireless Tie Microphone","無線領夾麥克風"
"Shotgun Microphone","指向性麥克風"
"PA System with Wireless Microphone","廣播系統連無線麥克風"
"14-input Stereo Mixer","立體聲混音器"
"Hi-Fi","音響組合"
"Center Speaker","中置揚聲器"
"2-way Speaker","2路揚聲器"
"High Resolution Visual Presenter","高分辨率視覺演示器"
"Desktop Visualizer","座枱實物投影機"
"LED Display Board","電子顯示屏"
"Computer Backplane","電腦底板"
"CD Rewritable Drive","可重寫光碟機儀器"
"Tuner Card","調音卡"
"Controller","遙控器"
"3 Com SS II Switch Matrix Module","轉換器"
"3 Com SS II Switch 3300 24pts","轉換器"
"3 Com SS II Switch 3300 12pts","轉換器"
"3 Com SS II Switch 100 Base 7X Module","轉換器"
"Dehumidifier","除濕機"
"Blower","抽/送風機"
"Audio Player/Recorder","錄音機"
"Camcorder","攝像機"
"Binding Machine","訂裝機"
"Convertible Poster Stand","轉換式海報架"
"Firewall","防火牆"
"Hard Disk","硬盤"
"Proxy Server","電腦匯流排轉接器"
"512MB DDR Ram","記憶體"
"PCI Adaptor","代理伺服器"
"Grill-baking Oven","焗爐"
"Double-sided Corkboard with Stand","雙面鋁邊水松皮連腳架"
"Double-sided Fabric Cover Board with Stand","布面摺合式直掛活動展覽板"
"Pressure Washers","清洗機"
"Facsimile Machine","傳真機"
"Double-sided White Magnetic Board with Stand and Lock","雙面白磁板連腳架及鎖"
"White Magnetic Board with Stand","白磁板連架"
"Desktop Cabinet with 9 Drawers","9格文件櫃"
"Desktop Cabinet with 27 Drawers","27格文件櫃"
"Cassette Recorder","錄音機"
"CD Cassette Recorder","光碟錄音機"
"Rotary Trimmer","切紙機"
"CD Player","光碟播放機"
"Digital Document Camera","實物投影機"
"AV Selector","視訊切換器"
"Hands-free Voice Amplifier","免提擴音器"
"MD Hi-Fi System","MD音響組合"
"25.6"" Rotary Cutter","切紙機"
"Stainless Steel Notice Board and Stand","不銹鋼告示牌連座"
"Camera Lens","相機保護鏡"
"Electronic Flash","閃光燈"
"Camera Body","相機機身"
"High Magnification Finder","高倍率取景器"
"Mini LCD Projector","迷你液晶投影機"
"Megaphone","擴音機"
"Instant Dictionary","電子辭典"
"Camera Tripod","相機腳架"
"Camera with Lens","相機連鏡頭"
"Handycam","攝錄機"
"Mini Electric Lawn Mower","小型電動剪草機"
"Video PAL Presenter","視訊投影機"
"Backrail","金屬欄杆"
"Slide Projector","幻燈片投影機"
"4 in 1 Out AV Selector","四進一出視訊切換器"
"HiFi System","音響組合"
"Multifunction Directional Microphone","多功能麥克風"
"Network Printer Sharing Device","列印伺服器"
"USB Icy Blue Tablet","冰藍色數位板"
"Port Gigabit Ethernet Switch","千兆以太網交換機"
"Cutting Machine","切割機"
"Paper Folding Handle Machine","摺信機"
"Panasonic DVD/CD Player","光碟播放機"
"Facsimile Equipment","傳真機"
"Pencil Sharpener","鉛筆刨"
"Mailing Scale","郵寄磅"
"Calculator","計算機"
"Desk Lamp","檯燈"
"LAN Splitter","網絡分線器"
"DVD Handy Cam","手提攝錄機"
"Recorder","錄音機"
"DVD ROM Driver","外置光碟機"
"Digital Camera","防水數碼相機"
"Double Tape Cassette Deck","錄影帶機"
"Portable Radio Transceiver","對講機"
"Wheelchair with Hand Brake Function","輪椅車"
"Whiteboard","白板"
"Blood Pressure Monitor","血壓監測器"
"Clinostat","斜度儀"
"Stereoscopic Microscope","立體顯微鏡"
"Microscope without Mechanical Stage","不附設載物台顯微鏡"
"Mechanical Stage for Microscope","顯微鏡載物台"
"Student Microscope","學生顯微鏡"
"40X Stereo Microscope","40倍立體顯微鏡"
"pH Meter","酸鹼度測定計"
"Water Bath","水浴鍋"
"Cable Cover","水浴鍋掣冚"
"Test Tube Rack","水浴鍋試管架"
"Water Bath and Accessories","水浴鍋及配件"
"Olympic Balance Beam","奧林匹克平衡木"
"Vaulting Horse","鞍馬"
"iPod Classic","音樂播放器"
"Paper Shredder","條狀碎紙機"
"Floor Dryer","三速吹地機"
"Roller Shutter Door Steel Cabinet","捲門鋼櫃"
"Etching Press","蝕刻機"
"Turntable","製造陶瓷轉盤"
"Button Making Machine","襟章機"
"Canon 328","空碳粉匣"
"HP CE 205A","空碳粉匣"
"HP CE 250XC","空碳粉匣"
"HP CE 251AC","空碳粉匣"
"HP CE 252AC","空碳粉匣"
"HP CE 253AC","空碳粉匣"
"HP CE 278A","空碳粉匣"
"HP CE 505AC","空碳粉匣"
"HP CE 505XC","空碳粉匣"
"HP CF 280XC","空碳粉匣"
"HP CF 400A","空碳粉匣"
"HP CF 401A","空碳粉匣"
"HP CF 402A","空碳粉匣"
"HP CF 403A","空碳粉匣"
"HP Q1338A","空碳粉匣"
"HP Q5949A","空碳粉匣"
"HP Q7516A","空碳粉匣"
"HP Q7553XC","空碳粉匣"
"Ricoh SP150","空碳粉匣"
"Kyocera TK1177","空碳粉匣"
"Kyocera TK3167","空碳粉匣"
"Kyocera TK8604C","空碳粉匣"
"Kyocera TK8604K","空碳粉匣"
"Kyocera TK8604M","空碳粉匣"
"Kyocera TK8604Y","空碳粉匣"
"Brother TN2280","空碳粉匣"
"Panasonic UG-3380","空碳粉匣"
"HP C8061X","空碳粉匣"
"HP CB 380A","空碳粉匣"
"HP CB 384A Imaging Drum","已用感光鼓"
"HP CE 505A","空碳粉匣"
"HP CE 505X","空碳粉匣"
"HP CF 280A","空碳粉匣"
"HP CF 280X","空碳粉匣"
"HP Q 5949A","空碳粉匣"
"HP Q 7516AC","空碳粉匣"
"HP Q 7553X","空碳粉匣"
"HP Q 7553XC","空碳粉匣"
"Kyocera TK -1177","空碳粉匣"
"Photocopier","影印機"
"Engine","汽車引擎"
"Roller Shutter Cabinet","捲門儲物木櫃"
"HP Q2612AC","空碳粉盒"
"HP Q5949A","空碳粉盒"
"HP Q7516A","空碳粉盒"
"HP Q7553A","空碳粉盒"
"HP CE505AC","空碳粉盒"
"HP CB435A","空碳粉盒"
"HP CE285AC","空碳粉盒"
"HP CF280X","空碳粉盒"
"HP CF280A","空碳粉盒"
"HP CF283A","空碳粉盒"
"HP CF226A","空碳粉盒"
"HP CC530AC","空碳粉盒"
"HP CC531A","空碳粉盒"
"HP CC532AC","空碳粉盒"
"HP CE270A","空碳粉盒"
"HP CE271A","空碳粉盒"
"HP CE272A","空碳粉盒"
"HP CE273A","空碳粉盒"
"HP CE320A","空碳粉盒"
"HP CE321A","空碳粉盒"
"HP CE322A","空碳粉盒"
"HP CE323A","空碳粉盒"
"HP CE410A","空碳粉盒"
"HP CE411A","空碳粉盒"
"HP CE412AC","空碳粉盒"
"HP CE413A","空碳粉盒"
"HP CF276A","空碳粉盒"
"HP CF310AC","空碳粉盒"
"HP CF311AC","空碳粉盒"
"HP CF312AC","空碳粉盒"
"HP CF313AC","空碳粉盒"
"HP CF325XC","空碳粉盒"
"HP CF358A","空碳粉盒"
"HP CF359A","空碳粉盒"
"HP CF364A","空碳粉盒"
"HP CF365A","空碳粉盒"
"HP CF400A","空碳粉盒"
"HP CF401A","空碳粉盒"
"HP CF402A","空碳粉盒"
"HP CF403A","空碳粉盒"
"HP CF410A","空碳粉盒"
"HP CF500A","空碳粉盒"
"HP CF501A","空碳粉盒"
"HP CF502A","空碳粉盒"
"HP CF503A","空碳粉盒"
"HP CF500X","空碳粉盒"
"HP CF501X","空碳粉盒"
"HP CF502X","空碳粉盒"
"HP CF503X","空碳粉盒"
"HP C3906F","空碳粉盒"
"HP C9730AC","空碳粉盒"
"HP C9731AC","空碳粉盒"
"HP C9732AC","空碳粉盒"
"HP C9733AC","空碳粉盒"
"HP W2000A","空碳粉盒"
"HP W2001A","空碳粉盒"
"HP W2002A","空碳粉盒"
"HP W2003A","空碳粉盒"
"HP W2040A","空碳粉盒"
"HP W2110A","空碳粉盒"
"HP W2111A","空碳粉盒"
"HP W2112A","空碳粉盒"
"HP W2113A","空碳粉盒"
"Epson C13S050442","空碳粉盒"
"Epson C13S051162","空碳粉盒"
"Epson C13S051163","空碳粉盒"
"Epson C13S051164","空碳粉盒"
"Epson C13S051165","空碳粉盒"
"Panafax UG-5575","空碳粉盒"
"Digital Video Recorder","數碼攝錄機"
"Headphone","耳機"
"Card Reader","讀卡器"
"Switch","交換器"
"Digital Projector","數碼投影機"
"Poplin Blue","府綢藍布料"
"Strainer Basket Suction 5-1/2 inches","5吋半銅籃"
"Global Positioning System","手提衛星定位儀"
"Branch Water Applicator with 2-1/2 inches' Nozzle and Handle","重型喉筆"
"Ruggedized Video Inspection System","火場用微攝視頻監測系統"
"Water Collecting Head 2 X 65MM & 1 X 100MM MRT","消防車用欖核形三叉收水器"
"Key for Long Hydrant","長街井匙"
"Stretcher","擔架床，籃式帶背包"
"Stretcher","擔架床，網狀帶背包"
"Extendable Hand Saw","高枝樹鋸"
"Heavy Duty Bolt Cropper 36 inches","大較剪"
"Complete Pry Axe with Sheath","消防萬能斧"
"Universal Type Suction Hose Spanner Wrench","救火用塞順匙"
"Round Mouth Shovel with Metal Handle","圓鏟"
"36 inches Crowbar with Eyelets & Shoulder Line","36吋鈦金屬鐵筆"
"24 inches Crowbar with Eyelets & Shoulder Line","24吋鈦金屬鐵筆"
"3 Tonnes Shackle","3噸塞鼓"
"Water Breeching DIV/COL","消防車用120度收分水器"
"Recipro 18V Cordless Saw with Battery & Blade","18V電鋸"
"Hand Saw with Curved Blade 360MM","樹鋸"
"0-14 Bar Flow Gauge for Hydrant","街井流量計"
"Rescue Pulley","單滑輪"
"Wooden Block Pulley for 3 Inches Rope","木滑輪"
"Large Wheel Chock","大車轆墊"
"Small Wheel Chock","細車轆墊"
"Hand and Controlled Water Applicator Branch Tips","迷你喉筆"
"Cage Nozzle Water Applicator","升降台籠頂喉筆"
"Self-Rescue Equipment - Swiss Army Knife","瑞士軍刀"
"Roof Roller","頂端滑輪"
"Edge Roller","邊緣滑輪"
"Rescue Double Pulley","雙滑輪"
"Foam Making Branch Pipe 2-1/2 inches","製泡槍"
"Lever for Static Tank Cover","街井蓋勾"
"Rescue Machine Pulling with 60 Feet Steel Wire Rope","火場用拖拉機連60呎鋼索"
"Hammer Sledge with Handle 4 LBS","4磅鎚"
"Hammer Sledge with Handle 8 LBS","8磅鎚"
"Adaptor Double Female 2-1/2 inches Female Round Thread","適配器，雙母頭"
"Water Separator","分水器"
"Window Breaking Punch","破窗鑿"
"Hand Wheel for Hydrant","消防栓手輪"
"Digital Blood Pressure Meter","數碼血壓計"
"Lens 1.6-3.4MM","鏡頭"
"Intercom Unit","無線答錄機"
"Digital Video Camera","數碼攝影機"
"Fax Machine","傳真機"
"Paper Collator","分紙機"
"Digital Duplicator","複印機"
"Audio Mixer","音頻混合器"
"Lens 1.4/6-12MM","鏡頭"
"Compressor","壓縮機"
"Camera","攝影機"
"Control Unit","控制器"
"Mobile Phone with Battery and Charger","手提電話連電池及充電器"
"Stand of Electronic Whiteboard","電子白板腳架"
"Pcmcia Interface Adaptor of Test Equipment 'Rohde & Schwarz' Nrt-Z4","介面卡"
"Parallel Detect Panel","感應器"
"Intercom","對講機"
"4"" Display Module","4吋顯示模組"
"2W/4W Termination Set","電源轉換器"
"Dual-Tone Multi-Frequency/Call Progress Tone Generate & Detector","雙音多頻訊號感應器"
"Data Repeater Board","網路繼電器"
"Connect/Disconnect Switch Card","斷流開關卡"
"110W 3U Power Supply Unit for Telephone/Facsimile","電源供應器"
"Brush Cutter","剪草機"
"Gas Indicator","氣體探測儀"
"Growth Chamber","程控人工氣候箱"
"Paper Folder","摺信機"
"Tripod","三腳架"
"Concentrator","高效濃縮機"
"Sulfites Apparatus","二氧化硫測試工具"
"Vacuum Rotory Evaporator","旋轉蒸發器"
"Manifold Vacuum","真空乾燥器"
"Magnetic Stirrer with Heater","攪拌器"
"Sample Rack","樣本架"
"Clothes Dryer","乾衣機"
"Work Top Refrigerator Chiller 1 [","冷凍櫃"
"Digital Carmera","數碼相機"
"Flow Injection Analyzer","流動注射分析儀"
"DVD Player","影碟播放器"
"Hi-Fi System","音響組合"
"VCD Hi-Fi System","影碟音響系統"
"Chinese Billiard","康樂棋"
"Soccer Game Machine","足球遊戲機"
"TV Top box","電視高清盒"
"Oven","焗爐"
"Combi Steamer","蒸焗爐"
"Hot & Cold Water Dispenser","冷熱水機"
"Electric Impact Drill","電鑽"
"Ammonia Gas Alert Monitor with Vibration Alarm","阿蒙尼亞測試儀錶"
"Temperature Recorder","溫度紀錄器"
"Thermo-Hunter","量度溫度儀錶"
"Gas Detector Gas Alert Max XTII","量度空氣儀錶"
"Vacuum Pump","真空泵"
"Air-conditioner 12000BTU Mobile Type","移動式冷氣機"
"Digital Cordless Phone","無線座台電話"
"Working Table","工作檯"
"Earphone","耳機"
"Square Meeting Table","會議檯"
"45W Loudhailer","揚聲器"
"Air Purifier","空氣清新機"
"Water Dispenser","飲水機"
"Integrated Chip Recorder","錄音機"
"Intergrated Chip Recorder","錄音機"
"Hand Held Laser Scanner","激光掃描器"
"Portable Data Terminal","便攜式數據終端器"
"Cradle","便攜式數據終端器充電支架"
"Desktop Calculator","計數機"
"Portable Cordless Public Address System with Wireless Microphone Transmitter","手提無線擴音器"
"Clock","掛牆鐘"
"High Back Manager Chair","大班椅"
"High Back Leather Chair","大班椅"
"Desk Lamp","枱燈"
"Data Terminal Portable Datalogic","便攜式數據終端"
"Charging Cradle","充電座"
"High Chair","高腳椅"
"Ultrasonic Detector Kit","超聲波檢測表"
"Pressure Recorder","壓力記錄儀"
"Electronic Coating Thickness Gauge","塗層測厚儀"
"Inductively Coupled Plasma Mass Spectrometer and Accessories","電感耦合等離子體質譜儀及其配件"
"Liquid Heater","液體加熱器"
"Insulated Container for Van","恆溫箱"
"Automated Digital Imaging Particle Analysis System","自動藻類數算系統"
"Enamel Kiln","瓷器窯"
"Ceramic Kiln","陶瓷窯"
"Exercise Bike","健身單車"
"Cross Trainer","交叉訓練器"
"Pull-up Rack","拉起機架"
"Rowing Machine","划船機"
"Film Camera","菲林相機"
"Lens","相機鏡頭"
"Wireless Transmitter","無線傳輸器"
"Digital Camera","數碼相機連鏡頭"
"Lens Filter","保護鏡"
"Battery Grip","電池手柄"
"Telephone System","電話系統"
"Telephone Set","電話機"
"Public Address System","廣播系統"
"Digital pH Meter","數字式酸鹼計"
"pH Meter","酸鹼計"
"Dispenser","分液器"
"Dry Cabinet","防潮箱"
"LCD Digital Microscope","液晶數碼顯微鏡"
"Low Frequency Signal Generator","低頻訊號產生器"
"Digital Signal Generator & Amplifier","數碼訊號產生器及放大器"
"Electric Vacuum Pump","電動真空泵"
"Mixer","打蛋器"
"Dishwasher","洗碗碟機"
"Steamer","蒸氣熨斗"
"Folding Table","摺合式活動餐桌"
"Wheel Chair","輪椅"
"Water Bath","衡溫水浴器"
"Oscilloscope","雙軌示波器"
"Smoke Machine","煙霧機"
"Mixer","混音器"
"Potters Kick Wheel","陶工轉動輪"
"3-speed Floor Dryer","三速吹地機"
"Steamer","大型蒸爐"
"Radio Cassette Recorder","卡式收音錄音機"
"Electric Punching Machine","電動重型打孔機"
"Document Cabinet","捲簾門文件櫃"
"Waterpot","水壺"
"Electric Kettle","電水煲"
"Quarty Wall Clock","掛鐘"
"Punch Two-Hole","重型兩孔打孔機"
"Binding Machine","裝訂機"
"Punch","打孔機"
"Auto Stapler","自動釘書機"
"Paper Drilling Machine","紙鑽機"
"Electric Kettle","電熱水煲"
"DVD Hi-Fi System","影碟音響組合"
"Scale","體重電子磅"
"Rowing Machine with Monitor","划艇機連顯示屏"
"LCD Digital Timer","液晶電子計時器"
"Timer with Built-in Printer","計時器連打印装置"
"Screen 70""x 70""","投影屏"
"Camera with AF-28-80mm","相機"
"Binoculars with Luxury Strap & Pouch","望遠鏡"
"Memory Card","記憶卡"
"Battery Charger","充電器"
"4-Port Dialogic Card","4 端口對話卡"
"Industrial Server","工業用伺服器"
"Keyboard Video Mouse Switch","多電腦切換器"
"Electric Steam Table","電蒸台"
"Digital Camera with Charger","數碼相機連充電器"
"Portable CD-ROM","光碟機"
"Cassette Recorder","卡式錄音機"
"Wooden Cabinet","木櫃"
"Wooden Desk","木檯"
"Pedestal","側櫃"
"Wooden Counter Desk","木櫃檯"
"Partition","間隔板"
"Video-camera","手提攝錄機"
"Copy Machine","影印機"
"Document Feeder for Copy Machine","進紙器"
"Office Folding Machine","摺信機"
"Portable Air-conditioner","移動式冷氣機"
"Sofa","梳化"
"Chinese Dictionary","中華新字典"
"Plain Paper Facsimile Machine","傳真機"
"Wardrobe","衣櫃"
"Machine","標籤機"
"Tunic Winter Navy Blue Barathea","男裝冬季線絨上衣"
"Tunic Summer Blue Dac","女裝的確涼夏季衫"
"Lacie D2 Extreme FW800/400/USB2 200GB","外置硬碟"
"Motion Display","動態展板"
"Brassiere","胸圍"
"Finger Ring","戒指"
"Handbag/Bag","手袋/袋"
"Hanger","衣架"
"Trinket/Novelty/Imitation Jewellery","飾物"
"Wallet/Purse","錢包"
"Mobile Phone Accessory","手提電話配件"
"Hardware and Appliance","鐵器及器具"
"Cap/Hat","帽"
"Kitchenware","廚房用具"
"Passport Holder/ID Card Cover","証件套"
"Raincoat","雨衣"
"Earrings","耳環"
"Ornament","裝飾品"
"Towel","毛巾"
"Baby's Goods","嬰兒用品"
"Global Positioning System","舊全球定位器"
"Electric Pump","舊電動泵"
"Battery","舊電池"
"Mobile Phone","舊手提電話"
"Bed Sheet/Cover","床單/床套"
"Claw Machine","夾娃娃機"
"Token Changer","代幣兌換機"
"Coin Changer","硬幣兌換機"
"Used Trailer Reg. No.: 45718T Chassis No.: LSEJG3A4530006478","舊拖架"
"Split Type Air-conditioner","分體式冷氣機"
"Safe","夾萬"
"Double Burner Hotplate","雙頭煮食爐"
"Range Hood","抽油煙機"
"Electric Kettle","電熱水壺"
"Rice Cooker","電飯煲"
"Telephone","電話"
"Air-cooler","冷風機"
"Television","液晶體電視機"
"Electric Water Heater","電熱水爐"
"Electric Fan","電風扇"
"Hair Dryer","風筒"
"Portable Fan","手提風扇"
"Fan","風扇"
"CD/Radio Player","光碟播放/收音機"
"Window Type Air-conditioner","窗口式冷氣機"
"Exhaust Fan","抽氣扇"
"Radio","收音機"
"Water Boiler","熱水壺"
"Computer Monitor","液晶體電腦顯示屏"
"Gas Water Heater","氣體熱水爐"
"Insect Killer","殺蟲器"
"Hub with Management Module Software","集線器連管理模組軟件"
"Student Chair","學生椅"
"A3 Laminator","A3過膠機"
"Precision Cutter","切紙器"
"4-seat Chair with Armrests","四座位有扶手背椅"
"Whiteboard with Wheels","有轆白磁板"
"Megaphone","擴音器"
"CD/Radio Cassette Recorder","光碟卡式收音錄音機"
"Wall-mount Public Address Speaker","掛牆揚聲器"
"Thermal Binding Machine","熱熔釘裝機"
"Yangqin","3排半揚琴"
"Chung Ruan","中阮"
"Tiger Erhu","虎丘二胡"
"Yangqin","四排揚琴"
"White Wood Liuqin","白木柳琴"
"18-stringed Zheng","18弦鋼線古箏"
"Bb Trumpet","小號喇叭"
"Robot","機械人"
"Robot Set","機械人套件"
"Robot Accessory","機械人配件"
"Controller Board","搖控器板"
"Robot Teaching Kit","機械人教材套件"
"Robot Control Unit","機械人搖控器"
"Education Base Set","教育教材套裝"
"Outdoor Table and Chair","戶外檯椅"
"Robot Dog","機械狗"
"3D Milling Machine","3D立體銑床"
"Robot","機器人"
"Hydraulic Machines Wooden Kit","油壓系統木套件"
"Plate Cutting Machine","平板切割機"
"3D Printer","3D立體打印機"
"High Resolution Presenter","實物投影機"
"LaserDisc Player","影碟播放機"
"Video Tape Recorder","錄影機"
"Wireless Microphone System","無線麥克風系統"
"Digital Light Processing Projector","數位光處理投影機"
"Video Camera Microphone","攝錄機麥克風"
"Thermograph with 7 Days Clock Charts","温度記錄儀連7日時鐘表"
"Sunshine Recorder","日照計"
"Auto-Focus Slide Projector","幻燈片機"
"Digital Presenter","實物投影機"
"Media Drive","媒體儲存器"
"External SCSI Connector","連接器"
"Movie Maker Hardware","電影製作硬件"
"Video Converter","影片轉換器"
"DVD/CD Duplicator","光碟複製機"
"Inkjet Automated 100-Disc Printer","光碟打印機"
"Hard Disk","硬碟機"
"MiniDisc Player","迷你光碟播放機"
"Digital Compact Player","數碼播放機"
"Digital Broadcast Set Top Box","數碼電視機頂盒"
"Speakers","揚聲器"
"2-way Hi-Fi Speaker","雙聲道揚聲器"
"Double Stereo Cassette Tape Deck","卡式帶機"
"Feedback Eliminator","反饋消除器"
"Equalizer","混音器"
"Power Amplifier","擴音機"
"Changeover Switch Box","轉換盒"
"Chair for Visitors","大堂客排椅"
"Ball Cart","球車"
"Camera with Backup Battery","相機連後備電"
"Digital Video Recorder","錄像機"
"Vertical Infrared Thermometer","直立式紅外線人體温測儀"
"4 Drawers Steel Filing Cabinet","四桶鋼櫃"
"Music Stand","譜架"
"Cello","大提琴"
"15"" Viola with Shoulder Rest","中提琴連肩托"
"16"" Viola","中提琴"
"Viola","中提琴"
"Piano with Bench","鋼琴連琴椅"
"Electric Floor Polisher","地板拋光機"
"Drying Rack","乾燥棚"
"Printmaking Machine","版畫機"
"Cabinet for TV","電視櫃"
"CD/Cassette Recorder","光碟/磁帶錄音機"
"Mosquito Lamp","電子滅蚊燈"
"Open Shelf Cabinet","櫃"
"3-speed Floor Dryer","三速吹風機"
"2 Doors Cupboard","兩門櫃"
"Firewall","防火牆硬件"
"11mbps PCMCIA Wireless LAN Card","無線網路卡"
"Mixer Amplifier","混音擴音器"
"Cassette Recorder","磁帶錄音機"
"Direct Projector","實物投影機"
"Digital Handy-camera","手提攝錄機"
"Amplifier with Karaoke","卡拉OK擴音器"
"Media Player","影音播放器"
"Speaker and Wireless Microphone","揚聲器及無線麥克風"
"Mixer","調音台"
"Portable Cassette Recorder","便擕式磁帶錄音機"
"Radio Cassette Recorder","磁帶收音錄音機"
"Computer Table","電腦檯"
"Desktop Shelf for Computer Table","電腦櫃"
"Table","檯"
"Stainless Steel Signboard","不銹鋼告示牌"
"CD Duplicator","燒碟機"
"Wireless Amplifier/Receiver","無線擴音機/接收器"
"Slide Tray","幻燈片投影機托盤"
"Laser Pointer","雷射光筆"
"Digital Video Handycam","數碼手提攝錄機"
"Voice Pen","錄音筆"
"Digital Video Camcorder","數碼攝錄機"
"Digital Voice Recorder","數碼錄音機"
"Double Bass Case","低音提琴盒"
"3 Step Choir Riser","合唱團台階"
"Server Rack","伺服器機櫃"
"Square Metering Cubicle with Accessories","電錶箱連配件"
"Voltage Regulator","調壓器"
"Hot and Cold Water Dispenser","冷熱水機"
"Gas Detector","氣體探測器"
"Franking Machine Electronic Scale 5KG","郵資機"
"Welding Helmet","焊接頭盔"
"Welding Set","直流電焊機"
"Precision End Mill Sharpener","精準磨鏍條機"
"Single Acting Chuck","四爪單動卡盤"
"Electric Belt Sander","電動砂帶機"
"235mm Electric Saw","手提電鋸"
"Electrical Tarplaner with Accessories","電木鉋連配件"
"Air Cooler","涼風機"
"Radial Drill 38""","搖臂鑽床"
"Lathe with Accessories","車床連配件"
"Shaping Machine","鉋床"
"Spectrometer","質譜儀"
"Incubator","培養箱"
"Cooled Incubator","冷卻培養箱"
"Deionized Water System","去離子水系統"
"Electronic Dry Cabinet","電子防潮箱"
"Water Purification System","淨水機系統"
"Muffle Furnance","馬弗熔爐"
"Turbidity Meter","濁度計"
"Hotplate","電子加熱盤"
"Ion & pH Meter","離子及酸鹼度計"
"pH Meter","酸鹼度計"
"Glass Draft Shield for AC400 Electric Balance","電子磅玻璃罩"
"Electric Balance","電子磅"
"Switch","轉換器"
"Hub","集線器"
"Encoding and Editing Device","視頻調諧器"
"Display Card","顯示卡"
"External Hard Disk Drive","外置硬盤"
"Hard Disk Drive","硬盤"
"Server","伺服器"
"Car Engine","汽車引擎"
"Transceiver","對講機"
"Expired Ink Cartridge","過期墨盒"
"Video Cassette Recorder","卡式錄影機"
"Radio Cassette Recorder","收音錄音機"
"Wall-mounted Fan","掛牆風扇"
"Table-top Fan","座枱風扇"
"24"" Mountain Bike","24吋爬山單車"
"20"" Mountain Bike","20吋爬山單車"
